Ârea territorial codi;Àrea territorial;Comarca codi;Comarca;Municipi codi;Municipi;Districte codi;Naturalesa;Titularitat;Estudis;Nivell;Sexe;Concert;Resultat de l'avaluació;N Avaluats estudi
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;2;HOME;SI;Promocionen amb pendents;22
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;Alumnes avaluats;99
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;No promocionen;11
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;Promocionen al mes de juny;62
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;Promocionen al mes de setembre;5
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;DONA;SI;Promocionen amb pendents;21
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Alumnes avaluats;81
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;No promocionen;15
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Promocionen al mes de juny;42
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Promocionen al mes de setembre;5
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;3;HOME;SI;Promocionen amb pendents;19
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;Alumnes avaluats;87
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;No promocionen;8
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;Promocionen al mes de juny;69
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;SI;Promocionen al mes de setembre;10
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;Alumnes avaluats;78
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;No promocionen;11
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;Promocionen al mes de juny;42
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;Promocionen al mes de setembre;22
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PRIVAT;ORDES I CONGREGACIONS CATÒLICS;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;SI;S'ha expedit certificat;3
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;137
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;No promocionen;6
108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Promocionen al mes de juny;74
