codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio
25,pallars jussa,11367,637,93,590,129,360,51,13227,85.94,0.8593785438875028,4.82,0.048159068571860586,0.7,0.007031072805624858,4.46,0.04460573070235125,0.98,0.009752778407802223,2.72,0.027217056021773645,0.39,0.0038557496030845995
26,pallars sobira,6290,402,10,78,34,101,15,6930,90.76,0.9076479076479076,5.8,0.05800865800865801,0.14,0.001443001443001443,1.13,0.011255411255411256,0.49,0.004906204906204906,1.46,0.014574314574314575,0.22,0.0021645021645021645
27,pla d'urgell,29702,2686,253,3412,68,442,174,36737,80.85,0.8085036883795629,7.31,0.07311429893567793,0.69,0.006886789884857228,9.29,0.09287639164874649,0.19,0.0018509949097639982,1.2,0.012031466913465988,0.47,0.004736369327925525
28,pla de l'estany,27700,1012,158,2376,558,505,328,32637,84.87,0.8487299690535282,3.1,0.031007751937984496,0.48,0.004841131231424457,7.28,0.07280080889787664,1.71,0.017097159665410425,1.55,0.015473235897907283,1.0,0.010049943315868493
29,priorat,8092,502,41,373,41,102,9,9160,88.34,0.883406113537118,5.48,0.05480349344978166,0.45,0.004475982532751091,4.07,0.04072052401746725,0.45,0.004475982532751091,1.11,0.0111353711790393,0.1,0.000982532751091703
30,ribera d'ebre,18357,1641,181,1268,61,148,214,21870,83.94,0.8393689986282579,7.5,0.07503429355281208,0.83,0.008276177411979882,5.8,0.05797896662094193,0.28,0.0027892089620484683,0.68,0.006767261088248743,0.98,0.00978509373571102
31,ripolles,22666,428,104,1095,322,478,160,25253,89.76,0.8975567259335524,1.69,0.01694848136855027,0.41,0.00411832257553558,4.34,0.043361184809725575,1.28,0.012750960281946699,1.89,0.018928444145250068,0.63,0.006335880885439354
32,segarra,16836,2248,1400,2351,91,281,111,23318,72.2,0.7220173256711553,9.64,0.09640620979500815,6.0,0.060039454498670555,10.08,0.10082339823312463,0.39,0.003902564542413586,1.21,0.012050776224376019,0.48,0.004760271035251737
33,segria,171166,12744,1653,18382,1190,4209,2496,211840,80.8,0.8079966012084592,6.02,0.06015861027190332,0.78,0.007803058912386707,8.68,0.08677303625377643,0.56,0.005617447129909366,1.99,0.019868768882175227,1.18,0.011782477341389729
34,selva,138437,10735,5614,9333,2360,4017,4142,174638,79.27,0.7927083452627721,6.15,0.061470012253919536,3.21,0.032146497325897,5.34,0.05344197711838202,1.35,0.013513668273800662,2.3,0.023001866718583584,2.37,0.02371763304664506
35,solsones,12034,604,65,603,47,127,33,13513,89.05,0.890549840893954,4.47,0.044697698512543474,0.48,0.004810182786945904,4.46,0.044623695700436616,0.35,0.003478132169022423,0.94,0.009398357137571228,0.24,0.002442092799526382
36,tarragones,213304,10681,3804,17594,1976,9097,5010,261466,81.58,0.8158001422747125,4.09,0.04085043562069256,1.45,0.014548736738237476,6.73,0.06728981970887228,0.76,0.0075573879586638415,3.48,0.03479228656880818,1.92,0.01916119113001308
37,terra alta,9982,1066,31,89,76,58,128,11430,87.33,0.8733158355205599,9.33,0.09326334208223971,0.27,0.0027121609798775154,0.78,0.00778652668416448,0.66,0.006649168853893263,0.51,0.005074365704286964,1.12,0.011198600174978127
38,urgell,30037,2408,660,3224,156,442,189,37116,80.93,0.8092736286237742,6.49,0.06487768078456731,1.78,0.017782088587132233,8.69,0.08686280849229443,0.42,0.004203039120594891,1.19,0.011908610841685527,0.51,0.005092143549951503
39,aran,8481,954,74,232,89,307,38,10175,83.35,0.8335135135135135,9.38,0.09375921375921376,0.73,0.007272727272727273,2.28,0.022800982800982802,0.87,0.008746928746928747,3.02,0.03017199017199017,0.37,0.0037346437346437345
40,valles occidental,829243,19280,4763,33983,11018,27271,11950,937508,88.45,0.8845183187770131,2.06,0.0205651578439864,0.51,0.005080489979818839,3.62,0.036248224015155074,1.18,0.011752433045904676,2.91,0.029088818442082626,1.27,0.012746557896039287
41,valles oriental,375482,7213,2077,15303,2691,8380,3424,414570,90.57,0.9057143546325108,1.74,0.0173987505125793,0.5,0.005010010372192874,3.69,0.03691294594399016,0.65,0.006491063029162747,2.02,0.020213715415973176,0.83,0.008259160093590949
42,moianes,12638,286,70,330,55,304,236,13919,90.8,0.9079675264027588,2.05,0.0205474531216323,0.5,0.005029096917882032,2.37,0.02370859975572958,0.4,0.003951433292621596,2.18,0.021840649471944824,1.7,0.01695524103743085
