codi,comarca,tipus_estudis,sexe,valor,any
32,segarra,sense_educacio,dones,474,2021
32,segarra,sense_educacio,homes,477,2021
32,segarra,estudis_superiors,dones,2592,2021
33,segria,sense_educacio,homes,3456,2021
33,segria,sense_educacio,dones,4041,2021
33,segria,estudis_superiors,homes,24054,2021
33,segria,estudis_superiors,dones,29655,2021
33,segria,educacio_obligatoria,homes,62529,2021
33,segria,educacio_obligatoria,dones,54972,2021
34,selva,estudis_superiors,homes,15876,2021
34,selva,estudis_superiors,dones,19569,2021
34,selva,educacio_obligatoria,homes,56856,2021
34,selva,educacio_obligatoria,dones,51009,2021
34,selva,sense_educacio,dones,3195,2021
34,selva,sense_educacio,homes,2628,2021
35,solsones,educacio_obligatoria,dones,3441,2021
35,solsones,sense_educacio,homes,288,2021
35,solsones,sense_educacio,dones,372,2021
35,solsones,estudis_superiors,homes,1692,2021
35,solsones,estudis_superiors,dones,1953,2021
35,solsones,educacio_obligatoria,homes,3855,2021
36,tarragones,educacio_obligatoria,homes,72342,2021
36,tarragones,educacio_obligatoria,dones,69294,2021
36,tarragones,estudis_superiors,homes,34089,2021
36,tarragones,estudis_superiors,dones,38331,2021
36,tarragones,sense_educacio,homes,2799,2021
36,tarragones,sense_educacio,dones,4485,2021
37,terra alta,educacio_obligatoria,dones,3543,2021
37,terra alta,sense_educacio,homes,207,2021
37,terra alta,sense_educacio,dones,285,2021
37,terra alta,estudis_superiors,homes,855,2021
37,terra alta,estudis_superiors,dones,1116,2021
37,terra alta,educacio_obligatoria,homes,4047,2021
38,urgell,sense_educacio,homes,408,2021
38,urgell,sense_educacio,dones,483,2021
38,urgell,estudis_superiors,homes,3702,2021
38,urgell,estudis_superiors,dones,4695,2021
38,urgell,educacio_obligatoria,homes,11859,2021
38,urgell,educacio_obligatoria,dones,10302,2021
39,aran,sense_educacio,dones,87,2021
39,aran,educacio_obligatoria,dones,2664,2021
39,aran,educacio_obligatoria,homes,3111,2021
39,aran,estudis_superiors,dones,1623,2021
39,aran,estudis_superiors,homes,1428,2021
39,aran,sense_educacio,homes,51,2021
40,valles occidental,educacio_obligatoria,dones,244176,2021
40,valles occidental,sense_educacio,homes,8079,2021
40,valles occidental,sense_educacio,dones,15891,2021
40,valles occidental,educacio_obligatoria,homes,247971,2021
40,valles occidental,estudis_superiors,dones,142806,2021
40,valles occidental,estudis_superiors,homes,126072,2021
41,valles oriental,estudis_superiors,homes,50487,2021
41,valles oriental,estudis_superiors,dones,58731,2021
41,valles oriental,educacio_obligatoria,homes,118422,2021
41,valles oriental,educacio_obligatoria,dones,111180,2021
41,valles oriental,sense_educacio,homes,4596,2021
41,valles oriental,sense_educacio,dones,6831,2021
42,moianes,educacio_obligatoria,dones,3630,2021
42,moianes,educacio_obligatoria,homes,4287,2021
42,moianes,estudis_superiors,dones,2160,2021
42,moianes,estudis_superiors,homes,1920,2021
42,moianes,sense_educacio,dones,108,2021
42,moianes,sense_educacio,homes,66,2021
