codi,comarca,espanyola,resta_ue,resta_d'europa,africa,america_del_nord_i_central,america_del_sud,asia_i_oceania,total,espanyola_pct,espanyola_ratio,resta_ue_pct,resta_ue_ratio,resta_d'europa_pct,resta_d'europa_ratio,africa_pct,africa_ratio,america_del_nord_i_central_pct,america_del_nord_i_central_ratio,america_del_sud_pct,america_del_sud_ratio,asia_i_oceania_pct,asia_i_oceania_ratio,any
12,baix penedes,93315,4235,1453,6145,842,3220,947,110157,84.71,0.8471091260655247,3.84,0.0384451283168568,1.32,0.0131902648038708,5.58,0.0557840173570449,0.76,0.007643635901486,2.92,0.029231006654139,0.86,0.0085968209010775,2021
13,barcelones,1809716,104414,38990,42740,51659,110144,112259,2269922,79.73,0.7972591128681955,4.6,0.0459989374084219,1.72,0.0171768016698371,1.88,0.0188288408147945,2.28,0.0227580507171612,4.85,0.0485232532219168,4.95,0.0494550032996728,2021
14,bergueda,36085,936,217,1388,318,785,257,39986,90.24,0.9024408542990048,2.34,0.0234081928675036,0.54,0.0054268994147951,3.47,0.0347121492522382,0.8,0.0079527834742159,1.96,0.0196318711549042,0.64,0.006427249537338,2021
15,cerdanya,16469,800,277,380,208,1030,84,19248,85.56,0.8556213632585203,4.16,0.0415627597672485,1.44,0.0143911055694098,1.97,0.019742310889443,1.08,0.0108063175394846,5.35,0.0535120532003325,0.44,0.004364089775561,2021
16,conca de barbera,17720,771,275,982,71,172,168,20159,87.9,0.8790118557468128,3.82,0.0382459447393223,1.36,0.0136415496800436,4.87,0.0487127337665558,0.35,0.0035220000992112,0.85,0.0085321692544273,0.83,0.0083337467136266,2021
17,garraf,131585,8478,3457,3548,1472,4175,1492,154207,85.33,0.8533010823114385,5.5,0.0549780489861031,2.24,0.0224179187715213,2.3,0.0230080346547173,0.95,0.0095456107699391,2.71,0.0270739979378368,0.97,0.0096753065684437,2021
18,garrigues,16275,1282,71,1177,50,127,50,19032,85.51,0.8551387137452712,6.74,0.0673602353930222,0.37,0.0037305590584279,6.18,0.0618432114333753,0.26,0.0026271542664985,0.67,0.0066729718369062,0.26,0.0026271542664985,2021
19,garrotxa,49000,1824,783,2584,1256,973,2594,59014,83.03,0.8303114515199783,3.09,0.0309079201545396,1.33,0.0132680380926559,4.38,0.0437862202189311,2.13,0.0212830853695733,1.65,0.0164876131087538,4.4,0.0439556715355678,2021
20,girones,156412,6511,2122,16231,7993,3996,3013,196278,79.69,0.7968901252305404,3.32,0.0331723371952027,1.08,0.0108111963643403,8.27,0.0826939341138589,4.07,0.0407228522809484,2.04,0.0203588787332253,1.54,0.0153506760818838,2021
21,maresme,403239,11349,4685,22257,3593,8900,6164,460187,87.63,0.8762503069404395,2.47,0.024661713607729,1.02,0.0101806439556093,4.84,0.0483651211355383,0.78,0.0078076955672367,1.93,0.0193399639711682,1.34,0.0133945548222787,2021
