codi,comarca,analfabetisme_dones,analfabetisme_homes,analfabetisme_total,doctorat universitari_dones,doctorat universitari_homes,doctorat universitari_total,educacio primaria_dones,educacio primaria_homes,educacio primaria_total,educacio primaria incompleta_dones,educacio primaria incompleta_homes,educacio primaria incompleta_total,educacio secundaria_dones,educacio secundaria_homes,educacio secundaria_total,formacio professional_dones,formacio professional_homes,formacio professional_total,graus universitaris_dones,graus universitaris_homes,graus universitaris_total,masters universitaris_dones,masters universitaris_homes,masters universitaris_total,any
04,alt urgell,,,40,,,135,,,2085,,,650,,,9815,,,1485,,,2960,,,430,2020
05,alta ribagorca,,,10,,,30,,,375,,,130,,,1725,,,315,,,700,,,65,2020
06,anoia,,,340,,,490,,,11920,,,3180,,,59950,,,10460,,,14910,,,1795,2020
07,bages,,,360,,,905,,,19750,,,4375,,,84430,,,14000,,,25730,,,3035,2020
08,baix camp,,,1240,,,1220,,,17960,,,5960,,,90270,,,15125,,,26890,,,3925,2020
09,baix ebre,,,140,,,320,,,9595,,,3050,,,38830,,,5260,,,8815,,,1435,2020
10,baix emporda,,,595,,,750,,,14240,,,3535,,,65945,,,8420,,,19675,,,2050,2020
11,baix llobregat,,,2435,,,5455,,,77320,,,22205,,,370695,,,79290,,,130220,,,14585,2020
12,baix penedes,,,160,,,515,,,11415,,,2145,,,53945,,,8575,,,13015,,,1200,2020
13,barcelones,,,5485,,,36315,,,218560,,,66405,,,915860,,,169330,,,523630,,,74530,2020
14,bergueda,,,70,,,165,,,4800,,,690,,,19085,,,3605,,,5665,,,780,2020
15,cerdanya,,,15,,,120,,,1515,,,320,,,9260,,,1325,,,3190,,,360,2020
16,conca de barbera,,,15,,,85,,,2220,,,565,,,9865,,,1680,,,2575,,,330,2020
17,garraf,,,310,,,1420,,,14040,,,1915,,,67085,,,11390,,,31350,,,3110,2020
18,garrigues,,,20,,,75,,,2695,,,575,,,9310,,,1535,,,2200,,,295,2020
19,garrotxa,,,85,,,335,,,6905,,,1895,,,27030,,,4395,,,8520,,,1045,2020
20,girones,,,800,,,2190,,,17900,,,5410,,,86705,,,12155,,,32670,,,5135,2020
21,maresme,,,1250,,,3630,,,39185,,,14050,,,203665,,,35705,,,80945,,,9285,2020
22,montsia,,,250,,,210,,,8265,,,2275,,,34285,,,5420,,,7155,,,1030,2020
23,noguera,,,180,,,140,,,4705,,,1300,,,19305,,,2685,,,4700,,,590,2020
24,osona,,,360,,,980,,,17190,,,4105,,,76475,,,11615,,,23680,,,3095,2020
25,pallars jussa,,,15,,,75,,,1755,,,455,,,5785,,,1300,,,2070,,,280,2020
26,pallars sobira,,,0,,,60,,,635,,,125,,,3010,,,760,,,1340,,,170,2020
27,pla d'urgell,,,125,,,130,,,4605,,,1050,,,18055,,,2955,,,4225,,,540,2020
28,pla de l'estany,,,175,,,295,,,2995,,,1015,,,14245,,,2395,,,5090,,,920,2020
29,priorat,,,25,,,65,,,1000,,,165,,,4600,,,820,,,1325,,,160,2020
30,ribera d'ebre,,,60,,,70,,,3085,,,600,,,10520,,,2050,,,2620,,,350,2020
31,ripolles,,,75,,,130,,,2980,,,865,,,11970,,,2125,,,3470,,,395,2020
32,segarra,,,15,,,75,,,2655,,,965,,,11500,,,1515,,,2615,,,325,2020
33,segria,,,720,,,1755,,,21010,,,6780,,,98095,,,15590,,,31715,,,4560,2020
34,selva,,,680,,,730,,,17135,,,5075,,,90960,,,11270,,,20250,,,2175,2020
35,solsones,,,25,,,70,,,1405,,,635,,,5960,,,1275,,,1895,,,255,2020
36,tarragones,,,820,,,2605,,,25345,,,6140,,,118165,,,22415,,,40040,,,6265,2020
37,terra alta,,,30,,,30,,,1905,,,485,,,5800,,,620,,,1085,,,170,2020
38,urgell,,,80,,,165,,,4295,,,785,,,18095,,,2755,,,4645,,,565,2020
39,aran,,,10,,,45,,,665,,,125,,,5115,,,910,,,1775,,,175,2020
40,valles occidental,,,2935,,,8725,,,85220,,,19915,,,411200,,,78185,,,155305,,,20030,2020
41,valles oriental,,,830,,,2400,,,38395,,,10070,,,192120,,,36875,,,60150,,,6975,2020
42,moianes,,,5,,,105,,,1390,,,160,,,6450,,,1100,,,2380,,,275,2020
01,alt camp,,,115,,,185,,,4525,,,1545,,,21705,,,3855,,,5170,,,580,2019
02,alt emporda,,,375,,,590,,,15795,,,6900,,,71045,,,6685,,,16335,,,1555,2019
03,alt penedes,,,205,,,555,,,12235,,,2385,,,49795,,,8580,,,14695,,,1480,2019
04,alt urgell,,,45,,,115,,,2085,,,795,,,9800,,,1470,,,2880,,,355,2019
05,alta ribagorca,,,10,,,25,,,390,,,145,,,1725,,,285,,,685,,,60,2019
06,anoia,,,365,,,435,,,12295,,,3425,,,58805,,,9890,,,14140,,,1415,2019
07,bages,,,415,,,805,,,20170,,,5035,,,84000,,,13160,,,24600,,,2545,2019
08,baix camp,,,1305,,,1060,,,18080,,,6775,,,89320,,,14275,,,25290,,,3230,2019
09,baix ebre,,,165,,,270,,,9685,,,3565,,,38595,,,4985,,,8355,,,1210,2019
10,baix emporda,,,630,,,655,,,14310,,,4200,,,65535,,,7855,,,18625,,,1785,2019
11,baix llobregat,,,2790,,,4655,,,80125,,,24755,,,369285,,,74810,,,123100,,,11775,2019
12,baix penedes,,,200,,,410,,,11265,,,2485,,,52900,,,8005,,,12090,,,985,2019
13,barcelones,,,6635,,,31275,,,218385,,,81805,,,918120,,,159480,,,505855,,,62215,2019
14,bergueda,,,80,,,135,,,5020,,,720,,,18995,,,3440,,,5365,,,655,2019
15,cerdanya,,,15,,,105,,,1570,,,380,,,9105,,,1250,,,3035,,,330,2019
16,conca de barbera,,,20,,,75,,,2250,,,610,,,9895,,,1605,,,2500,,,285,2019
17,garraf,,,405,,,1230,,,14155,,,2900,,,66830,,,10545,,,29480,,,2555,2019
18,garrigues,,,25,,,65,,,2800,,,625,,,9280,,,1455,,,2100,,,240,2019
19,garrotxa,,,90,,,285,,,6900,,,2055,,,26780,,,4120,,,8110,,,840,2019
20,girones,,,785,,,1865,,,18030,,,6065,,,85560,,,11470,,,31395,,,4375,2019
21,maresme,,,1550,,,3130,,,40035,,,15145,,,203045,,,33730,,,76795,,,7485,2019
22,montsia,,,265,,,195,,,8370,,,2420,,,33925,,,5170,,,6740,,,855,2019
23,noguera,,,230,,,125,,,4725,,,1495,,,19025,,,2605,,,4500,,,510,2019
24,osona,,,385,,,840,,,17440,,,4580,,,75465,,,10970,,,22445,,,2595,2019
25,pallars jussa,,,20,,,70,,,1800,,,505,,,5735,,,1270,,,1980,,,245,2019
26,pallars sobira,,,0,,,45,,,690,,,135,,,3055,,,725,,,1285,,,145,2019
27,pla d'urgell,,,130,,,115,,,4800,,,1190,,,17840,,,2895,,,4015,,,440,2019
28,pla de l'estany,,,190,,,260,,,3105,,,1110,,,14155,,,2250,,,4835,,,810,2019
29,priorat,,,20,,,55,,,1030,,,190,,,4695,,,795,,,1260,,,125,2019
30,ribera d'ebre,,,55,,,65,,,3155,,,720,,,10625,,,1985,,,2470,,,290,2019
31,ripolles,,,80,,,115,,,3125,,,985,,,11860,,,2010,,,3305,,,340,2019
32,segarra,,,25,,,65,,,2810,,,1130,,,11315,,,1385,,,2480,,,255,2019
33,segria,,,755,,,1555,,,21015,,,7960,,,97120,,,14750,,,30385,,,3915,2019
34,selva,,,710,,,645,,,17545,,,5630,,,89530,,,10550,,,18950,,,1750,2019
35,solsones,,,30,,,60,,,1420,,,730,,,5990,,,1235,,,1795,,,215,2019
36,tarragones,,,955,,,2220,,,24470,,,7280,,,117290,,,21195,,,37750,,,5375,2019
37,terra alta,,,35,,,25,,,2000,,,540,,,5795,,,590,,,1035,,,150,2019
38,urgell,,,85,,,130,,,4680,,,990,,,17565,,,2565,,,4425,,,460,2019
