Curs;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Naturalesa;Titularitat;Estudi;Nivell;Sexe;Concert;Resultat de l'avaluació;Nombre alumnes
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;;Promocionen al mes de setembre;24
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;DONA;;Promocionen al mes de setembre;1
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Alumnes avaluats;29
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Alumnes avaluats;31
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Alumnes avaluats;1
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Alumnes avaluats;5
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Alumnes avaluats;69
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;No promocionen;29
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;No promocionen;1
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Promocionen al mes de juny;69
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Promocionen al mes de setembre;31
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801901;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;4;HOME;;Promocionen al mes de setembre;5
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801902;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;3
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801902;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;66
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801902;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Alumnes avaluats;167
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801902;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;No promocionen;3
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801902;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Promocionen al mes de juny;167
2019/2020;108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;8019;BARCELONA;801902;PÚBLIC;DEPARTAMENT D'ENSENYAMENT;EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA;1;DONA;;Promocionen al mes de setembre;31
